,type,geometry,properties
10,Feature,"{'type': 'Point', 'coordinates': [-117.35173500579, 33.677738863422]}","{'id': '643642d51f5a744ce715d024', 'dataSource': 'NIFC', 'loc': {'long': -117.35173500579, 'lat': 33.677738863422}, 'report': {'id': '2023-CARRU-053125', 'type': 'L', 'timestamp': 1681277515, 'dateTimeISO': '2023-04-11T22:31:55-07:00', 'name': 'W Lakeshore Dr / Bushman Av', 'location': 'W LAKESHORE DR / BUSHMAN AV', 'startTimestamp': 1681276181, 'startDateISO': '2023-04-11T22:09:41-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lake elsinore', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
11,Feature,"{'type': 'Point', 'coordinates': [-116.16415380301, 33.735084935182]}","{'id': '643642d51f5a744ce715d023', 'dataSource': 'NIFC', 'loc': {'long': -116.16415380301, 'lat': 33.735084935182}, 'report': {'id': '2023-CARRU-053086', 'type': 'L', 'timestamp': 1681275882, 'dateTimeISO': '2023-04-11T22:04:42-07:00', 'name': 'Landfill Rd / Dillon Rd', 'location': 'LANDFILL RD / DILLON RD', 'startTimestamp': 1681270482, 'startDateISO': '2023-04-11T20:34:42-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'indio', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
12,Feature,"{'type': 'Point', 'coordinates': [-116.07953477524, 33.570987920058]}","{'id': '6435fc491f5a744ce715d017', 'dataSource': 'NIFC', 'loc': {'long': -116.07953477524, 'lat': 33.570987920058}, 'report': {'id': '2023-CARRU-053006', 'type': 'L', 'timestamp': 1681257956, 'dateTimeISO': '2023-04-11T17:05:56-07:00', 'name': '4Th St / Grapefruit Bl', 'location': '4TH ST / GRAPEFRUIT BL', 'startTimestamp': 1681257095, 'startDateISO': '2023-04-11T16:51:35-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'mecca', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
13,Feature,"{'type': 'Point', 'coordinates': [-123.11918037557, 40.518894000071]}","{'id': '6435f5551f5a744ce715d00c', 'dataSource': 'NIFC', 'loc': {'long': -123.11918037557, 'lat': 40.518894000071}, 'report': {'id': '2023-CASHF-000283', 'type': 'L', 'timestamp': 1681256996, 'dateTimeISO': '2023-04-11T16:49:56-07:00', 'name': 'August Fire Disaster Relief Rx', 'location': 'August Fire Disaster Relief RX', 'startTimestamp': 1681256700, 'startDateISO': '2023-04-11T16:45:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'not reported', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'hayfork', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
14,Feature,"{'type': 'Point', 'coordinates': [-118.19236217682, 34.030594856509]}","{'id': '6435ee451f5a744ce715d001', 'dataSource': 'NIFC', 'loc': {'long': -118.19236217682, 'lat': 34.030594856509}, 'report': {'id': '2023-CALAC-121580', 'type': 'L', 'timestamp': 1681255849, 'dateTimeISO': '2023-04-11T16:30:49-07:00', 'name': 'Lac-121580', 'location': 'LAC-121580', 'startTimestamp': 1681255724, 'startDateISO': '2023-04-11T16:28:44-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'los angeles', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
15,Feature,"{'type': 'Point', 'coordinates': [-116.90542394817, 33.924178916595]}","{'id': '6435bd191f5a744ce715cfc6', 'dataSource': 'NIFC', 'loc': {'long': -116.90542394817, 'lat': 33.924178916595}, 'report': {'id': '2023-CARRU-052874', 'type': 'L', 'timestamp': 1681241565, 'dateTimeISO': '2023-04-11T12:32:45-07:00', 'name': '22Nd St Ofrp  / I 10  E', 'location': '22ND ST OFRP  / I 10  E', 'startTimestamp': 1681240801, 'startDateISO': '2023-04-11T12:20:01-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'banning', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
16,Feature,"{'type': 'Point', 'coordinates': [-116.06815877336, 33.572858920898]}","{'id': '6435b6031f5a744ce715cfba', 'dataSource': 'NIFC', 'loc': {'long': -116.06815877336, 'lat': 33.572858920898}, 'report': {'id': '2023-CARRU-052865', 'type': 'L', 'timestamp': 1681241071, 'dateTimeISO': '2023-04-11T12:24:31-07:00', 'name': 'Home Av / 5Th St', 'location': 'HOME AV / 5TH ST', 'startTimestamp': 1681240208, 'startDateISO': '2023-04-11T12:10:08-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'mecca', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
17,Feature,"{'type': 'Point', 'coordinates': [-120.77148009787, 38.902972162365]}","{'id': '6435b6031f5a744ce715cfb8', 'dataSource': 'NIFC', 'loc': {'long': -120.77148009787, 'lat': 38.902972162365}, 'report': {'id': '2023-CAENF-002471', 'type': 'L', 'timestamp': 1681239824, 'dateTimeISO': '2023-04-11T12:03:44-07:00', 'name': 'Tobacco Rx', 'location': 'TOBACCO RX', 'startTimestamp': 1674502968, 'startDateISO': '2023-01-23T11:42:48-08:00', 'conf': 100, 'areaKM': 0, 'areaMI': 0, 'areaAC': 11, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'georgetown', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
18,Feature,"{'type': 'Point', 'coordinates': [-121.7464021616, 39.073060661108]}","{'id': '6435aeee1f5a744ce715cfaa', 'dataSource': 'NIFC', 'loc': {'long': -121.7464021616, 'lat': 39.073060661108}, 'report': {'id': '2023-CASTR-000001', 'type': 'L', 'timestamp': 1681238339, 'dateTimeISO': '2023-04-11T11:38:59-07:00', 'name': 'Sutter Car Fire', 'location': 'SUTTER CAR FIRE', 'startTimestamp': 1680571800, 'startDateISO': '2023-04-03T18:30:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'not reported', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'sutter', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
19,Feature,"{'type': 'Point', 'coordinates': [-116.18835280429, 33.696598929251]}","{'id': '6435a0e01f5a744ce715cf98', 'dataSource': 'NIFC', 'loc': {'long': -116.18835280429, 'lat': 33.696598929251}, 'report': {'id': '2023-CARRU-052817', 'type': 'L', 'timestamp': 1681236027, 'dateTimeISO': '2023-04-11T11:00:27-07:00', 'name': 'Mitchell Dr / Grapefruit Bl', 'location': 'MITCHELL DR / GRAPEFRUIT BL', 'startTimestamp': 1681233262, 'startDateISO': '2023-04-11T10:14:22-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'coachella', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
