,type,geometry,properties
30,Feature,"{'type': 'Point', 'coordinates': [-118.35551219251, 33.886634831412]}","{'id': '6434f11c1f5a744ce7f13166', 'dataSource': 'NIFC', 'loc': {'long': -118.35551219251, 'lat': 33.886634831412}, 'report': {'id': '2023-CALAC-120654', 'type': 'L', 'timestamp': 1681189968, 'dateTimeISO': '2023-04-10T22:12:48-07:00', 'name': 'Lac-120654', 'location': 'LAC-120654', 'startTimestamp': 1681188652, 'startDateISO': '2023-04-10T21:50:52-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lawndale', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
31,Feature,"{'type': 'Point', 'coordinates': [-118.32161218999, 33.925744837634]}","{'id': '6434ea0d1f5a744ce7f13163', 'dataSource': 'NIFC', 'loc': {'long': -118.32161218999, 'lat': 33.925744837634}, 'report': {'id': '2023-CALAC-120661', 'type': 'L', 'timestamp': 1681189248, 'dateTimeISO': '2023-04-10T22:00:48-07:00', 'name': 'Lac-120661', 'location': 'LAC-120661', 'startTimestamp': 1681189032, 'startDateISO': '2023-04-10T21:57:12-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'hawthorne', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
32,Feature,"{'type': 'Point', 'coordinates': [-120.65580701368, 38.368128124864]}","{'id': '6434b8d71f5a744ce7f13142', 'dataSource': 'NIFC', 'loc': {'long': -120.65580701368, 'lat': 38.368128124864}, 'report': {'id': '2023-CAAEU-009722', 'type': 'L', 'timestamp': 1681183801, 'dateTimeISO': '2023-04-10T20:30:01-07:00', 'name': 'Clinton', 'location': 'CLINTON', 'startTimestamp': 1681175222, 'startDateISO': '2023-04-10T18:07:02-07:00', 'conf': 100, 'areaKM': 0, 'areaMI': 0, 'areaAC': 0.01, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'pine grove', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
33,Feature,"{'type': 'Point', 'coordinates': [-122.28088825432, 38.281176995897]}","{'id': '6434d4f71f5a744ce7f1315a', 'dataSource': 'NIFC', 'loc': {'long': -122.28088825432, 'lat': 38.281176995897}, 'report': {'id': '2023-CALNU-006927', 'type': 'L', 'timestamp': 1681183310, 'dateTimeISO': '2023-04-10T20:21:50-07:00', 'name': 'W Imola Ave  Napa_City', 'location': 'W IMOLA AVE  NAPA_CITY', 'startTimestamp': 1681182899, 'startDateISO': '2023-04-10T20:14:59-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'napa', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
34,Feature,"{'type': 'Point', 'coordinates': [-117.98072218418, 34.546514925614]}","{'id': '6434d4f71f5a744ce7f13159', 'dataSource': 'NIFC', 'loc': {'long': -117.98072218418, 'lat': 34.546514925614}, 'report': {'id': '2023-CALAC-120580', 'type': 'L', 'timestamp': 1681182768, 'dateTimeISO': '2023-04-10T20:12:48-07:00', 'name': 'Lac-120580', 'location': 'LAC-120580', 'startTimestamp': 1681182511, 'startDateISO': '2023-04-10T20:08:31-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'sun village', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
35,Feature,"{'type': 'Point', 'coordinates': [-116.4529117863, 32.833694811179]}","{'id': '6434d4f71f5a744ce7f13158', 'dataSource': 'NIFC', 'loc': {'long': -116.4529117863, 'lat': 32.833694811179}, 'report': {'id': '2023-CACNF-000019', 'type': 'L', 'timestamp': 1681182435, 'dateTimeISO': '2023-04-10T20:07:15-07:00', 'name': 'Laguna Place Broadcast Rx', 'location': 'LAGUNA PLACE BROADCAST RX', 'startTimestamp': 1672588533, 'startDateISO': '2023-01-01T07:55:33-08:00', 'conf': 100, 'areaKM': 0, 'areaMI': 0, 'areaAC': 1, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'mt laguna', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
36,Feature,"{'type': 'Point', 'coordinates': [-117.41412504104, 33.985966895289]}","{'id': '6434ce361f5a744ce7f13156', 'dataSource': 'NIFC', 'loc': {'long': -117.41412504104, 'lat': 33.985966895289}, 'report': {'id': '2023-CARRU-052557', 'type': 'L', 'timestamp': 1681181466, 'dateTimeISO': '2023-04-10T19:51:06-07:00', 'name': 'Crestmore Rd / 46Th St', 'location': 'CRESTMORE RD / 46TH ST', 'startTimestamp': 1681180857, 'startDateISO': '2023-04-10T19:40:57-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'rubidoux', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
37,Feature,"{'type': 'Point', 'coordinates': [-116.80351188553, 33.347824854524]}","{'id': '6434c6ef1f5a744ce7f1314e', 'dataSource': 'NIFC', 'loc': {'long': -116.80351188553, 'lat': 33.347824854524}, 'report': {'id': '2023-CACNF-000024', 'type': 'L', 'timestamp': 1681181053, 'dateTimeISO': '2023-04-10T19:44:13-07:00', 'name': 'Palomar Fuelbreak Broadcast Rx', 'location': 'PALOMAR FUELBREAK BROADCAST RX', 'startTimestamp': 1672589161, 'startDateISO': '2023-01-01T08:06:01-08:00', 'conf': 100, 'areaKM': 0, 'areaMI': 0, 'areaAC': 1, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'aguanga', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
38,Feature,"{'type': 'Point', 'coordinates': [-117.15408197688, 33.743123881829]}","{'id': '6434bff21f5a744ce7f1314a', 'dataSource': 'NIFC', 'loc': {'long': -117.15408197688, 'lat': 33.743123881829}, 'report': {'id': '2023-CARRU-052540', 'type': 'L', 'timestamp': 1681178370, 'dateTimeISO': '2023-04-10T18:59:30-07:00', 'name': 'Hy 74  E/ Menifee Rd', 'location': 'HY 74  E/ MENIFEE RD', 'startTimestamp': 1681177766, 'startDateISO': '2023-04-10T18:49:26-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'menifee', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
39,Feature,"{'type': 'Point', 'coordinates': [-117.1740209936, 33.910117900013]}","{'id': '6434ab181f5a744ce7f1313e', 'dataSource': 'NIFC', 'loc': {'long': -117.1740209936, 'lat': 33.910117900013}, 'report': {'id': '2023-CARRU-052473', 'type': 'L', 'timestamp': 1681172059, 'dateTimeISO': '2023-04-10T17:14:19-07:00', 'name': 'Moreno Beach Dr / Cactus Av', 'location': 'MORENO BEACH DR / CACTUS AV', 'startTimestamp': 1681171509, 'startDateISO': '2023-04-10T17:05:09-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'moreno valley', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
40,Feature,"{'type': 'Point', 'coordinates': [-118.13562222264, 34.68943493215]}","{'id': '6434a3c01f5a744ce7f13133', 'dataSource': 'NIFC', 'loc': {'long': -118.13562222264, 'lat': 34.68943493215}, 'report': {'id': '2023-CALAC-120327', 'type': 'L', 'timestamp': 1681169808, 'dateTimeISO': '2023-04-10T16:36:48-07:00', 'name': 'Lac-120327', 'location': 'LAC-120327', 'startTimestamp': 1681169215, 'startDateISO': '2023-04-10T16:26:55-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
41,Feature,"{'type': 'Point', 'coordinates': [-118.15741222506, 34.674924929282]}","{'id': '643487a01f5a744ce7f1310b', 'dataSource': 'NIFC', 'loc': {'long': -118.15741222506, 'lat': 34.674924929282}, 'report': {'id': '2023-CALAC-120211', 'type': 'L', 'timestamp': 1681163088, 'dateTimeISO': '2023-04-10T14:44:48-07:00', 'name': 'Lac-120211', 'location': 'LAC-120211', 'startTimestamp': 1681162936, 'startDateISO': '2023-04-10T14:42:16-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
42,Feature,"{'type': 'Point', 'coordinates': [-118.19241217688, 34.031334856588]}","{'id': '6434798d1f5a744ce7f130ee', 'dataSource': 'NIFC', 'loc': {'long': -118.19241217688, 'lat': 34.031334856588}, 'report': {'id': '2023-CALAC-120132', 'type': 'L', 'timestamp': 1681160808, 'dateTimeISO': '2023-04-10T14:06:48-07:00', 'name': 'Lac-120132', 'location': 'LAC-120132', 'startTimestamp': 1681159352, 'startDateISO': '2023-04-10T13:42:32-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'los angeles', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
43,Feature,"{'type': 'Point', 'coordinates': [-120.52820601576, 38.552505150569]}","{'id': '642c90be1f5a744ce7c2d400', 'dataSource': 'NIFC', 'loc': {'long': -120.52820601576, 'lat': 38.552505150569}, 'report': {'id': '2023-CAENF-000392', 'type': 'L', 'timestamp': 1681160044, 'dateTimeISO': '2023-04-10T13:54:04-07:00', 'name': 'Scottiago Rx', 'location': 'SCOTTIAGO RX', 'startTimestamp': 1672862561, 'startDateISO': '2023-01-04T12:02:41-08:00', 'conf': 100, 'areaKM': 0.7, 'areaMI': 0.3, 'areaAC': 175, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'buckhorn', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
44,Feature,"{'type': 'Point', 'coordinates': [-116.53828688595, 33.948606939885]}","{'id': '6434489a1f5a744ce7f13083', 'dataSource': 'NIFC', 'loc': {'long': -116.53828688595, 'lat': 33.948606939885}, 'report': {'id': '2023-CARRU-052230', 'type': 'L', 'timestamp': 1681147300, 'dateTimeISO': '2023-04-10T10:21:40-07:00', 'name': 'Jayne St  Dhsp', 'location': 'JAYNE ST  DHSP', 'startTimestamp': 1681143884, 'startDateISO': '2023-04-10T09:24:44-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'desert hot springs', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
45,Feature,"{'type': 'Point', 'coordinates': [-117.16640095258, 34.753338326486]}","{'id': '64342ca61f5a744ce7f13067', 'dataSource': 'NIFC', 'loc': {'long': -117.16640095258, 'lat': 34.753338326486}, 'report': {'id': '2023-CASBCC-005756', 'type': 'L', 'timestamp': 1681139629, 'dateTimeISO': '2023-04-10T08:13:49-07:00', 'name': 'Sc/bn/82', 'location': 'SC/BN/82', 'startTimestamp': 1680874980, 'startDateISO': '2023-04-07T06:43:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'not reported', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lenwood', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
46,Feature,"{'type': 'Point', 'coordinates': [-118.14340222229, 34.670254929601]}","{'id': '643417551f5a744ce7c8912a', 'dataSource': 'NIFC', 'loc': {'long': -118.14340222229, 'lat': 34.670254929601}, 'report': {'id': '2023-CALAC-119717', 'type': 'L', 'timestamp': 1681133808, 'dateTimeISO': '2023-04-10T06:36:48-07:00', 'name': 'Lac-119717', 'location': 'LAC-119717', 'startTimestamp': 1681133476, 'startDateISO': '2023-04-10T06:31:16-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
47,Feature,"{'type': 'Point', 'coordinates': [-116.22799381273, 33.714881929275]}","{'id': '6433caa91f5a744ce7c89110', 'dataSource': 'NIFC', 'loc': {'long': -116.22799381273, 'lat': 33.714881929275}, 'report': {'id': '2023-CARRU-052110', 'type': 'L', 'timestamp': 1681114737, 'dateTimeISO': '2023-04-10T01:18:57-07:00', 'name': 'Hy 111   Indo', 'location': 'HY 111   INDO', 'startTimestamp': 1681113866, 'startDateISO': '2023-04-10T01:04:26-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'indio', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
48,Feature,"{'type': 'Point', 'coordinates': [-117.2272049926, 33.78240288234]}","{'id': '6433c2bc1f5a744ce7c8910e', 'dataSource': 'NIFC', 'loc': {'long': -117.2272049926, 'lat': 33.78240288234}, 'report': {'id': '2023-CARRU-052104', 'type': 'L', 'timestamp': 1681112598, 'dateTimeISO': '2023-04-10T00:43:18-07:00', 'name': 'Perris Union High Sch Dist Perr', 'location': 'PERRIS UNION HIGH SCH DIST PERR', 'startTimestamp': 1681111917, 'startDateISO': '2023-04-10T00:31:57-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'perris', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
49,Feature,"{'type': 'Point', 'coordinates': [-118.16667223405, 34.760474938036]}","{'id': '643391841f5a744ce7c8910a', 'dataSource': 'NIFC', 'loc': {'long': -118.16667223405, 'lat': 34.760474938036}, 'report': {'id': '2023-CALAC-119401', 'type': 'L', 'timestamp': 1681100329, 'dateTimeISO': '2023-04-09T21:18:49-07:00', 'name': 'Lac-119401', 'location': 'LAC-119401', 'startTimestamp': 1681100040, 'startDateISO': '2023-04-09T21:14:00-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
50,Feature,"{'type': 'Point', 'coordinates': [-118.16480217257, 34.035284858585]}","{'id': '64338ae81f5a744ce7c89107', 'dataSource': 'NIFC', 'loc': {'long': -118.16480217257, 'lat': 34.035284858585}, 'report': {'id': '2023-CALAC-119374', 'type': 'L', 'timestamp': 1681099008, 'dateTimeISO': '2023-04-09T20:56:48-07:00', 'name': 'Lac-119374', 'location': 'LAC-119374', 'startTimestamp': 1681098141, 'startDateISO': '2023-04-09T20:42:21-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'east los angeles', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
51,Feature,"{'type': 'Point', 'coordinates': [-116.46834984497, 33.584281900618]}","{'id': '64338ae81f5a744ce7c89106', 'dataSource': 'NIFC', 'loc': {'long': -116.46834984497, 'lat': 33.584281900618}, 'report': {'id': '2023-CARRU-051975', 'type': 'L', 'timestamp': 1681098750, 'dateTimeISO': '2023-04-09T20:52:30-07:00', 'name': 'Monte Rosa   Anza', 'location': 'MONTE ROSA   ANZA', 'startTimestamp': 1681093584, 'startDateISO': '2023-04-09T19:26:24-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'alpine village', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
52,Feature,"{'type': 'Point', 'coordinates': [-116.82450393591, 33.947027923761]}","{'id': '643375dc1f5a744ce7c890fe', 'dataSource': 'NIFC', 'loc': {'long': -116.82450393591, 'lat': 33.947027923761}, 'report': {'id': '2023-CARRU-051955', 'type': 'L', 'timestamp': 1681093661, 'dateTimeISO': '2023-04-09T19:27:41-07:00', 'name': 'Malki Rd / Morongo Rd', 'location': 'MALKI RD / MORONGO RD', 'startTimestamp': 1681092208, 'startDateISO': '2023-04-09T19:03:28-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'cabazon', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
