objectid,fire_name,fire_type,landowner,fuel_model
293277,RX - Old Road Ridge,RX,USFS,000
293280,Cove City Fields,RX,USFS,000
293283,Pleasant Hill Fields,RX,USFS,000
293284,Cook Block,RX,USFS,000
293285,RX - Cherry Gap,RX,USFS,000
293286,OKWMR-FY23-RX-TREASURE-LAKE-UNIT,RX,USFWS,000
293293,TOMBIGBEE BB 29E  RX,RX,USFS,000
293295,OKWMR-FY23-RX-WING-PASTURE-UNIT,RX,USFWS,000
293296,RX - Weavers Branch,RX,USFS,000
293298,FY23 PNF ABCD Misc,WF,Private,000
293299,RX - Brushy Branch,RX,USFS,000
293303,RX - Big Creek Fields,RX,USFS,000
293304,RX - Brush Creek,RX,USFS,000
293305,RX - Nor Cal B,RX,USFS,000
293306,RX - Harpers Creek,RX,USFS,000
293307,USFWS AZ FY23 RX,RX,Private,000
293308,RX - Gillot Branch Field,RX,USFS,000
293312,RX - South California Creek,RX,USFS,000
293313,RX - Canlot,RX,USFS,000
293314,RX - Cook Hollow,RX,USFS,000
293316,RX - Walker Field,RX,USFS,000
293318,RX - Nor Cal A,RX,USFS,000
293319,RX - Stone 4,RX,USFS,000
293321,RX - Wolf Creek Fields,RX,USFS,000
293323,RX - Walnut,RX,USFS,000
293326,RX - ATV,RX,USFS,000
293327,RX - Stone,RX,USFS,000
293330,RX - Deacon Creek,RX,USFS,000
293331,RX - Ramsey Creek,RX,USFS,000
293333,HARRISON PENS,WF,Private,000
293335,RX - Big Pine,RX,USFS,000
293336,RX - Irishman Branch,RX,USFS,000
293339,DOUBLE BARREL,WF,Private,000
293341,RX - Chestnut Ridge,RX,USFS,000
293344,RX - Pinnacle,RX,USFS,000
293348,SYCAMORE 2,WF,Tribal,000
293349,MEMPHIS,WF,Private,000
293351,CHIPPER,WF,Tribal,000
293352,Pagosa Creek Piles RX,RX,USFS,000
293353,Great Plains Zone RX,RX,USFWS,000
293354,CEDAR PATCH,WF,Private,000
293356,2023 ELRD RX BURN PILES,RX,USFS,000
293357,2023 HCRD RX BURN PILES,RX,USFS,000
293369,2023 ALRD RX BURN PILES,RX,USFS,000
293372,2023 LNP PILES,RX,USFS,000
293377,2023 EAGLE LAKE PILE RX,RX,USFS,000
293378,2023 APPLEGATE PILE RX,RX,USFS,000
293380,TWO BUNCH PALMS TRL / LITTLE MORONGO RD,WF,Private,000
293382,OKWMR-FY23-RX-HEADQUARTERS-UNIT,RX,USFWS,000
293385,34TH ST / WALLACE ST,WF,Private,000
293388,SEA SC1 Eric Cypress Rx 0105,RX,BIA,000
293393,SEA SC3 Andre Jumper Pasture Rx 0105,RX,BIA,000
293394,NASHVILLE,WF,Private,000
293397,2023 SHASTA CO PILE RX,RX,USFS,000
293399,RIVERSIDE DR  LELS,WF,Private,000
293405,HY 74  E HEM,WF,Private,000
293408,DILLON RD / VISTA DEL NORTE,WF,Private,000
293412,BERG,WF,Private,000
293418,OSF CPT 100 Work Center Rx 0106,RX,USFS,000
293419,RAZORBACK,WF,Private,000
293420,BIG DOG,WF,BIA,000
293430,Black Mesa West Piles,RX,USFS,000
293431,HY 111   INDO,WF,Private,000
293436,MM 104,WF,Private,000
293437,OKES - Havlik PVT RX,RX,Private,000
293442,Black Mesa Admin. Piles,RX,USFS,000
293444,Pittsfield Forwarder Fire,WF,Private,000
293445,BUCKLE,WF,Private,000
293446,BUCKALOO,WF,Private,000
293451,SPOTTED BEAR,WF,Tribal,000
293453,FY 23 Eglin RX Burn Support -BLM,RX,DOD,000
293454,Nacogdoches 0101,WF,Private,Light Logging Slash
293455,FY 23 Eglin RX Burn Support- FWS,RX,DOD,000
293463,MALLARD,WF,USFWS,000
293465,BUFFALO,WF,BLM,000
293466,Angelina 0102,WF,Private,Timber (Litter and Understory)
293467,CATFISH,WF,Private,000
293468,WILD ONION,WF,Private,000
293469,SWANN,WF,Private,000
293470,Angelina 0103,WF,Private,Timber (Litter and Understory)
293471,Bowers Bluff,WF,USFS,Southern Rough
293472,212 North RX,RX,USFS,000
293473,LITTLE ROCK,WF,Tribal,000
293474,SUNNY,WF,Tribal,000
293475,TWIN,WF,Private,000
293476,Scholtes/16F  RX,RX,USFS,000
293477,South Falls E-2 RX,RX,USFS,000
293478,LAC-006806,WF,Private,000
293479,Steer Creek E RX,RX,USFS,000
293480,HARRISON,WF,Private,000
293482,ANF Trout Creek C 79/81 RX,RX,USFS,000
293483,CIRCLE DR  INDO,WF,Private,000
293484,OLIVE TREE LN  LVIL,WF,Private,000
293485,MANY PILES,WF,Private,000
293487,RAZOR 1,WF,Private,000
293488,DALE,WF,Private,000
293490,2 ARMADILLOS,WF,Private,000
293491,COCKLEBUR,WF,BIA,000
293492,WORLD LOGISTICS CENTER PY / ALESSANDRO BL,WF,Private,000
293494,CACTUS AV / ELSWORTH ST,WF,Private,000
293496,LAC-007143,WF,Private,000
293499,Friday ,WF,Private,000
293501,LAC-007218,WF,Private,000
293503,ADRIENNE AV  MOVA,WF,Private,000
293505,WESTON,WF,Private,000
293508,VAN BUREN BL / 56TH ST,WF,Private,000
293513,LAC-007754,WF,Private,000
293514,EAST BOUND,WF,Private,000
293516,CHRISTINE ST  WINC,WF,Private,000
293517,LAC-007820,WF,Private,000
293521,LAC-007889,WF,Private,000
293522,STONEY POINT,WF,Private,000
293527,HEATON,WF,USFS,000
293528,BOBBER,WF,Private,000
293532,TEMECULA PY / LA PAZ ST,WF,Private,000
293533,Lost Lake,WF,USFS,000
293536,POWERLINE,WF,BLM,000
293538,W RAMSEY ST /N 8TH ST,WF,Private,000
293543,Shockley,WF,USFS,000
293550,HY 86S  / AIRPORT BL OFRP,WF,Private,000
293551,MOLINO,WF,USFS,000
293552,MEADOW GLEN DR  IDYL,WF,Private,000
293554,RIVERVIEW DR / RIO RD,WF,Private,000
293558,VARNER,WF,Private,000
293563,EVANS RD / CRAIG AV,WF,Private,000
293565,MAGNOLIA AV / WINDSONG ST,WF,Private,000
293566,KAKASHI,WF,Private,000
293567,ROCK CREEK,WF,Private,000
293568,HEADWATERS,WF,Private,000
293569,FY23 Wes Cache Creek,RX,USFWS,000
293570,DOZER HOLE,WF,Private,000
293571,SKYLARK DR / PALOMAR ST,WF,Private,000
293578,SLRD DISTRICT PILE BURN PLAN,RX,DOD,000
293580,MRD DISTRICT PILE BURN PLAN,RX,DOD,000
293581,LAC-008919,WF,Private,000
293586,ORD DISTRICT PILE BURN PLAN,RX,Private,000
293587,SBRD DISTRICT PILE BURN  PLAN,RX,Private,000
293588,SBRD DISTRICT PILE BURN  PLAN,RX,Private,000
293589,SAN TIMOTEO CANYON RD / REDLANDS BL,WF,Private,000
293593,105 E ,WF,USFS,000
293595,MPRD DISTRICT PILE BURN PLAN,RX,USFS,000
293597,WALKER,WF,Tribal,000
293598,Bowie 0128,WF,Private,Timber (Grass and Understory)
293599,LAC-009106,WF,Private,000
293600,SUNNYMEAD,WF,Private,000
293601,MORONGO RD  BAN,WF,BIA,000
293602,LAC-009170,WF,Private,000
293603,SUNNY 2,WF,Tribal,000
293604,Terry Ranch Road,WF,Private,000
293605,ONE TIME,WF,Private,000
293606,LAC-009158,WF,Private,000
293607,ALL NIGHT,WF,Tribal,000
293613,REDONDO NORTE   COAC,WF,Private,000
293614,PIERCE,WF,BIA,000
293617,Lake Charles ,WF,USFS,000
293618,LAC-009414,WF,Private,000
293619,CARMELITA AV  ELCE,WF,Private,000
293621,HY 74  E/ SCENIC DR,WF,USFS,000
293624,RADWELL DR  MOVA,WF,Private,000
293629,HY 60  W/ BOX SPRINGS RD ONRP,WF,Private,000
293633,IRIS AV / KITCHING ST,WF,Private,000
293634,MAGNOLIA AV  HOMG,WF,Private,000
293635,MESQUITE AV / BUENA VISTA AV,WF,Private,000
293637,FRED WARING DR  INDO,WF,Private,000
293643,LBL - Travis Cemetery,WF,USFS,000
293645,HOP,WF,Private,000
293647,Leupp,WF,USFS,000
293649,N RAMONA BL / YOUNG ST,WF,Private,000
293651,LONG LEAF,WF,Tribal,000
293652,BIG ACORN,WF,Tribal,000
293653,ARTIC CAT,WF,Private,000
293654,RANGER,WF,Tribal,000
293657,Cast Iron Piles,RX,Private,000
293660,RICKETS,WF,Private,000
293669,Drip Line,WF,Private,000
293670,CRANE,WF,Private,000
293671,HIDDEN,WF,Private,000
293673,CRAFT,WF,BIA,000
293677,Troublesome RX,RX,USFWS,000
293678,CRIPPLE TURKEY BL,RX,USFS,000
293683,RUDY,WF,Private,000
293684,2023 NWA-BIA RX SUPPORT,RX,Private,000
293685,Yucca,WF,Private,000
293691,ARKOMA,WF,Private,000
293692,Burton,WF,Private,000
293693,BEARD,WF,BIA,000
293694,WEATHER MAN,WF,BIA,000
293702,LAC-010029,WF,Private,000
293703,Chamber Springs Fields,RX,USFS,000
293707,C9 ,WF,BIA,000
293712,COFFEE MILL,WF,USFS,000
293716,Little Fawn RX,RX,USFS,000
293722,LAC-010095,WF,Private,000
293725,LONELY,WF,Private,000
293726,FRANKLIN,WF,Private,000
293736,C-236,RX,USFS,000
293744,Stewart ,WF,State,000
293747,North Zone Piles RX,RX,USFS,000
293748,Moss Bluff ,WF,USFS,000
293749,CY23 SUF EZ RX Support,RX,Private,000
293750,MRD Pile Burn RX,RX,USFS,000
293751,2023 January Storm,WF,Private,000
293755,Englewood RX,RX,Private,000
293756,Either,WF,Private,000
293757,CY23 SUF WZ RX Support,RX,Private,000
293760,Fairfield Pile Burn RX,RX,USFS,000
293761,CY23 CPF RX Support,RX,Private,000
293762,1 ALPHA 23,WF,Private,000
293764,Bombing Range,WF,USFS,000
293770,Bogus,WF,Private,000
293771,LAC-010336,WF,Private,000
293775,E 27,WF,Private,Short Grass (1 foot)
293781,DRAG,WF,Private,000
293782,FRANKLIN,WF,State,000
293789,Pistol Hill ,WF,Private,000
293814,ELM AV  BEAU,WF,Private,000
293819,16TH AV  DHSP,WF,Private,000
293826,TRIMMER,RX,Private,000
293828,70TH,WF,BIA,000
293830,BEACON,WF,Private,000
293832,Kelly Drive,WF,Private,Short Grass (1 foot)
293833,Yokum Trail,WF,Private,000
293835,LAC-011203,WF,DOD,000
293838,DE SOTO BB 8359   RX,RX,USFS,000
293839,CAP,WF,Tribal,000
293840,RACETRACK,WF,Tribal,000
293842,COLLINS,WF,Tribal,000
293844,SHEPHERD,WF,Tribal,000
293846,Pyramid-Captain RX,RX,State,000
293849,CARPENTER,WF,Private,000
293850,DUDE,WF,Tribal,000
293851,Horseshoe RX,RX,USFWS,000
293853,ICE,WF,Private,000
293855,STUMP,WF,Private,000
293857,BULLDOG,WF,Private,000
293858,SEA SW11 0110,RX,BIA,000
293859,JACKPOT,WF,Private,000
293860,SOLO 2,WF,BIA,000
293861,REDO,WF,Private,000
293862,Kenwood Unit 5A 10,RX,Tribal,000
293864,Sauls Creek Piles RX,RX,USFS,000
293865,Sundance Pile RX ,RX,BIA,000
293868,Sun River Unit 4 RX,RX,State,000
293873,SPFG Step up1,WF,NPS,000
293888,Dump,WF,Private,Tall Grass (2.5 feet)
293892,Prospect,WF,NPS,000
293894,Whittington,WF,NPS,000
293897,2023 SPD MISC RX BURNING,RX,Private,000
293898,LIMONITE AV / CLAY ST,WF,Private,000
293902,HANNON RD / BROOKSIDE AV,WF,Private,000
293905,2023 COF MISC RX BURNING,RX,Private,000
293906,2023 USFWS INLAND NORTHWEST RX BURNING,RX,USFWS,000
293911,2023 KAT MISC RX BURNING,RX,Private,000
293922,GOLF CENTER PY / GOLF CENTER PY OFRP,WF,Private,000
293935,FY 23 Avon Park RX Burn Support-FWS,RX,Private,000
293936,STREAMSONG,WF,Private,Tall Grass (2.5 feet)
293937,UPPERLAKE & COVELO PILE RX BURN PLAN,RX,USFS,000
293940,BICY Nobles A Rx FY23,RX,NPS,000
293959,Franklin 0193,WF,Private,Southern Rough
293962,Legacy,WF,Private,Short Grass (1 foot)
293963,S STATE ST /W 7TH ST,WF,Private,000
293966,70,WF,BIA,000
293967,BEACON WY  DHSP,WF,Private,000
293973,LAC-012295,WF,Private,000
293977,DALE KILER RD / AVE 64,WF,Private,000
293979,SHEPARD,WF,Private,000
293983,COW,WF,BIA,000
293985,Carrol Lakes Piles,RX,USFS,000
293986,Tenmile South Helena Unit 54,RX,USFS,000
293987,Strawberry Hill RX,RX,USFS,000
293992,SHAKER,WF,Private,000
293994,340,WF,USFS,000
293996,San Augustine 0197,WF,Private,Tall Grass (2.5 feet)
293997,340 C,WF,USFS,000
293999,WIPP ROAD,WF,BLM,000
294001,Pettengill RX,RX,USFS,000
294002,Cass 0199,WF,Private,000
294003,NE CR 337,WF,State,Timber (Litter and Understory)
294005,SE 132ND CT,WF,Private,Short Grass (1 foot)
294007,BIG OAK,WF,State,000
294008,Alder RX ,RX,USFS,000
294012,Love,WF,Private,000
294013,LAC-013010,WF,Private,000
294014,Upshur 0200,WF,Private,Timber (Litter and Understory)
294016,XSC January Winter Storms,WF,Private,000
294017,BALZANO,WF,Private,000
294018,HWY 380 MM 205,WF,Private,000
294019,XSC January Winter Storms,WF,Private,000
294025,Cellers Hill,WF,Private,Short Grass (1 foot)
294028,LAC-013364,WF,Private,000
294029,LAC-013531,WF,Private,000
294032,TEN FIFTY,WF,Private,000
294033,ADAPTER,WF,Private,000
294034,RABBIT,WF,Private,000
